DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ceramics & other NMM,"3,687.5","3,153.6","3,779.3","4,134.9","4,824.0","4,425.4","4,453.6","5,836.4","5,855.9","5,323.3","5,766.4","5,895.4","5,718.8","6,192.4","6,518.3","6,054.5"
Glass production ,"5,808.3","5,352.0","5,176.1","5,765.9","5,613.6","5,533.5","5,587.1","5,874.8","5,674.4","5,061.2","5,239.8","5,090.5","4,943.2","5,107.5","5,171.6","5,246.4"
"Pulp, paper and printing","6,950.5","6,778.4","6,577.8","6,332.0","6,651.5","7,688.2","7,086.3","7,783.7","7,435.1","7,267.2","7,336.7","6,601.5","6,430.6","6,646.4","6,798.8","6,776.4"
Pulp production,640.0,612.3,597.5,104.3,71.7,52.7,68.2,81.1,86.3,163.7,72.3,39.5,47.5,114.7,112.6,123.1
Paper production ,"6,235.7","6,094.6","5,917.6","6,173.8","6,517.6","7,560.4","6,949.3","7,626.0","7,281.2","7,038.9","7,197.4","6,498.4","6,322.9","6,471.2","6,623.8","6,594.8"
Printing and media reproduction,74.7,71.6,62.7,53.9,62.2,75.1,68.8,76.6,67.6,64.6,67.0,63.6,60.2,60.6,62.4,58.4
" Food, beverages and tobacco","8,558.3","8,433.9","8,408.7","8,478.0","8,718.0","8,387.7","8,214.9","8,221.3","7,759.3","7,635.2","7,979.5","8,039.5","8,093.1","7,855.2","7,764.5","7,614.6"
 Transport Equipment,"2,784.2","2,864.9","2,879.3","2,810.7","2,899.1","2,787.8","2,851.0","2,661.2","2,493.3","2,056.9","2,516.0","2,405.1","2,341.7","2,526.0","2,110.1","2,267.8"
 Machinery Equipment,"5,743.0","5,783.9","5,845.6","4,837.8","6,032.1","5,948.1","6,331.5","6,070.7","6,339.6","6,032.6","5,981.7","5,557.7","5,606.3","5,686.3","4,910.5","4,769.6"
 Textiles and leather,"1,444.0","1,382.4","1,253.4","1,391.1","1,214.7","1,134.1","1,093.1","1,033.3",884.0,735.7,786.5,730.8,699.8,696.3,648.3,645.9
 Wood and wood products,739.7,702.8,661.2,670.8,722.1,748.7,689.4,593.2,518.9,428.3,562.7,434.1,409.7,431.8,363.3,329.6
 Other Industrial Sectors,"7,477.1","5,663.3","5,176.6","3,300.5","3,645.2","3,119.0","3,199.3","3,541.6","4,143.7","2,807.1","3,286.2","2,765.7","2,630.6","2,712.0","2,616.8","2,659.9"
Solvent use and other process emissions,"2,768.3","2,576.2","2,583.1","2,601.7","2,731.9","2,627.2","2,743.4","2,736.5","2,613.8","2,388.7","2,730.9","2,620.0","2,601.9","2,627.7","2,511.8","2,493.6"
,,,,,,,,,,,,,,,,
Value added intensity (toe / M€2010),123.3,120.6,123.0,128.7,126.0,124.6,118.2,116.8,118.0,124.9,121.3,113.4,113.3,114.6,110.0,108.2
Iron and steel,"1,102.8","1,053.3","1,052.9","1,173.9",997.5,856.7,865.9,708.4,718.5,865.0,"1,145.3",991.1,"1,003.2","1,048.6","1,036.0","1,086.0"
Non Ferrous Metals,341.0,348.2,346.5,344.4,325.7,301.2,245.3,213.0,228.8,192.4,231.0,197.5,178.0,185.8,195.6,213.4
Alumina production,593.7,639.2,630.1,713.5,817.3,823.5,764.2,646.6,686.1,607.5,779.3,612.8,570.2,552.4,606.4,671.5
Aluminium production,422.2,434.9,430.3,446.9,403.8,376.8,266.5,245.1,276.6,151.7,204.5,182.7,167.9,190.9,208.1,228.9
Other non-ferrous metals,538.6,541.2,541.5,507.5,474.8,424.7,367.5,308.8,320.8,374.0,427.1,369.5,308.8,328.1,330.8,353.3
Chemicals Industry,198.3,194.8,197.2,223.9,209.2,214.8,214.6,229.3,225.8,225.5,226.8,223.6,232.3,235.3,226.6,229.2
Basic chemicals ,394.1,390.0,395.2,460.7,437.1,465.3,473.6,512.2,487.3,504.3,473.8,458.8,498.0,506.1,502.3,472.3
Other chemicals,115.8,116.9,118.2,139.9,132.7,140.7,142.2,153.0,147.7,145.6,141.0,163.8,156.0,145.2,139.8,133.7
Pharmaceutical products etc.,5.7,5.7,5.8,6.4,6.1,6.3,6.4,7.0,6.6,7.2,6.6,6.6,7.2,7.5,7.4,8.5
Non-metallic mineral products,386.5,390.5,420.5,458.8,462.3,461.4,441.3,451.4,446.6,469.8,451.9,438.3,422.3,424.3,406.6,419.8
Cement,341.1,342.7,378.4,410.9,427.7,420.9,401.4,418.1,413.4,373.9,378.5,376.3,369.8,346.9,328.3,337.3
Ceramics & other NMM,294.2,295.6,312.5,340.0,342.8,339.8,331.4,332.6,332.4,408.8,370.9,364.2,330.3,347.7,340.5,349.2
Glass production ,532.4,529.1,585.1,648.0,655.7,660.4,629.0,658.9,651.4,703.9,673.6,641.1,657.4,679.7,644.6,667.3
"Pulp, paper and printing",195.8,200.5,204.6,243.4,268.1,300.4,287.0,310.1,302.5,331.2,348.9,338.7,318.1,332.9,337.1,329.6
Pulp production,"2,216.4","2,169.6","2,176.2","2,443.3","2,724.7","3,046.1","2,891.8","3,106.7","2,998.0","3,189.5","3,390.3","3,011.9","2,775.9","2,866.8","2,262.6","1,873.5"
Paper production ,359.7,352.1,345.8,394.8,448.7,507.7,479.9,503.9,497.7,526.9,567.7,542.6,497.4,511.2,500.0,485.5
Printing and media reproduction,23.4,24.3,23.6,25.3,27.9,30.8,28.9,31.4,29.1,33.3,32.3,32.6,31.4,33.1,35.5,34.1
" Food, beverages and tobacco",113.0,112.7,115.7,120.8,121.9,126.0,123.8,126.2,127.2,127.7,126.3,129.9,129.0,127.0,127.3,118.5
 Transport Equipment,41.1,37.0,36.6,38.2,40.4,39.7,34.6,31.7,33.6,37.0,30.5,26.7,27.4,28.4,23.6,22.5
 Machinery Equipment,17.2,18.0,18.6,25.8,27.1,26.7,24.9,23.6,28.6,31.4,28.9,27.2,27.7,28.5,26.9,24.2
 Textiles and leather,92.9,96.7,97.9,103.3,93.7,96.1,88.6,86.7,78.3,80.6,84.8,76.9,80.7,71.1,64.3,76.1
 Wood and wood products,77.0,86.5,87.9,139.2,154.8,165.8,115.7,143.1,120.2,188.6,206.3,229.9,227.4,245.3,309.7,269.9
 Other Industrial Sectors,148.1,145.1,148.4,87.4,91.6,85.2,83.9,92.3,80.2,75.1,72.6,63.4,63.1,64.2,61.6,61.4
,,,,,,,,,,,,,,,,
Emission intensity (kt of CO2 / ktoe),2.97,2.77,2.74,2.69,2.71,2.72,2.69,2.72,2.71,2.61,2.67,2.58,2.46,2.44,2.40,2.50
Iron and steel,4.52,4.16,4.14,4.05,4.40,4.88,4.66,5.03,4.68,4.67,4.75,4.47,3.94,3.97,3.98,4.35
Integrated steelworks,4.88,4.50,4.48,4.37,4.79,5.32,5.08,5.49,5.12,5.16,5.17,4.89,4.31,4.33,4.33,4.71
Electric arc,1.11,1.00,0.98,1.01,1.03,1.09,1.06,1.16,1.08,1.05,1.07,1.02,0.91,0.93,0.93,1.01
