DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Low enthalpy heat,0.91%,0.90%,0.92%,1.05%,0.98%,1.01%,1.06%,1.15%,1.21%,1.19%,1.21%,1.20%,1.23%,1.25%,1.23%,1.30%
Chemicals: Feedstock (energy used as raw material),70.98%,71.10%,70.69%,66.55%,68.67%,67.84%,66.29%,63.36%,61.39%,62.06%,61.47%,61.68%,60.68%,60.16%,60.78%,58.42%
Chemicals: Steam processing,15.46%,15.40%,15.61%,17.82%,16.69%,17.13%,17.96%,19.52%,20.57%,20.21%,20.52%,20.42%,20.95%,21.23%,20.89%,22.15%
Chemicals: Furnaces,3.65%,3.64%,3.69%,4.21%,3.95%,4.05%,4.24%,4.61%,4.86%,4.78%,4.85%,4.83%,4.95%,5.02%,4.94%,5.24%
Chemicals: Furnaces - Thermal,1.91%,1.75%,1.86%,2.79%,2.34%,2.54%,2.85%,3.76%,4.08%,4.35%,4.09%,4.10%,4.34%,4.39%,4.13%,4.62%
Chemicals: Furnaces - Electric,1.75%,1.89%,1.83%,1.42%,1.61%,1.51%,1.40%,0.86%,0.78%,0.43%,0.76%,0.72%,0.61%,0.62%,0.81%,0.61%
Chemicals: Process cooling,1.83%,1.82%,1.85%,2.11%,1.97%,2.02%,2.12%,2.31%,2.43%,2.39%,2.43%,2.41%,2.48%,2.51%,2.47%,2.62%
Chemicals: Process cooling - Natural gas,0.66%,0.60%,0.65%,0.97%,0.81%,0.88%,0.99%,1.30%,1.41%,1.50%,1.42%,1.42%,1.50%,1.52%,1.43%,1.60%
Chemicals: Process cooling - Steam,0.56%,0.56%,0.57%,0.65%,0.61%,0.62%,0.65%,0.71%,0.75%,0.74%,0.75%,0.74%,0.76%,0.77%,0.76%,0.81%
Chemicals: Process cooling - Electric,0.60%,0.66%,0.63%,0.49%,0.56%,0.52%,0.48%,0.30%,0.27%,0.15%,0.26%,0.25%,0.21%,0.22%,0.28%,0.21%
Chemicals: Generic electric process,1.27%,1.26%,1.28%,1.46%,1.37%,1.40%,1.47%,1.60%,1.68%,1.65%,1.68%,1.67%,1.71%,1.74%,1.71%,1.81%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other chemicals,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%,1.02%
Air compressors,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%,6.65%
Motor drives,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%,1.23%
